id,HTL_name,HTL_type,J,V,FF,PCE,ref_name,ref_J,ref_V,ref_FF,ref_PCE,year
2014_0,Li-TFSI+tBP doped spiro,small molecule,19.7,0.97,64,12.66,P3HT,15,1.09,63,9.3,2014
2014_1,CuI 1.5-2 μm,inorganic,17.8,0.55,62,6,spiro-OMeTAD,17,0.82,65,7.1,2014
2014_2,CuSCN 600 nm,inorganic,19.2,1.02,58,12.4,w/o HTM,0.1,0.345,50,0.02,2014
2014_3,"CuSCN 500 nm, 110 deg annealing ",inorganic,14.4,0.72,61.7,6.4,-,-,-,-,-,2014
2014_4,MoOx 10 nm,small molecule,20.14,0.993,60,12.04,spiro-OMeTAD,19.94,1.011,61.3,12.36,2014
2014_5,C,inorganic,17.2,0.95,71,11.6,-,-,-,-,-,2014
2014_6,PSK 23 μm,inorganic,18.73,0.952,57,10.2,w/o HTM,18.15,0.911,64.9,10.73,2014
2014_7,C,inorganic,18.16,0.77,51,7.26,-,-,-,-,-,2014
2014_8,C 10-50 μm,inorganic,14.2,1.01,60,8.61,-,-,-,-,-,2014
2014_9,C 150 nm,inorganic,20.2,1.03,73,15.1,-,-,-,-,-,2014
2014_10,po-spiro-OMeTAD,small molecule,21.2,1.02,77.6,16.7,spiro-OMeTAD,20.4,1,72.7,15.2,2014
2014_11,HTM2,small molecule,17.9,0.921,68,11.63,-,18.7,0.936,69,12.08,2014
2014_12,SGT-405,small molecule,20.28,1.02,71,14.79,spiro-OMeTAD,20.31,1.03,72,15.23,2014
2014_13,X51,small molecule,16.79,0.88,66,9.8,spiro-OMeTAD,16.82,0.83,73,10.2,2014
2014_14,H111,small molecule,19.8,1.08,72,15.4,spiro-OMeTAD,19.9,1.05,69,14.4,2014
2014_15,T103,small molecule,20.3,0.99,61,12.4,spiro-OMeTAD,20.8,0.97,63,12.87,2014
2014_16,FA-MeOPh,small molecule,18.4,0.92,69,11.9,spiro-OMeTAD,19.87,0.89,72,12.75,2014
2014_17,OMeTPA-FA,small molecule,20.98,0.97,67,13.63,spiro-OMeTAD,21.57,0.99,68,14.68,2014
2014_18,Fused-F,small molecule,17.9,1.03,68,12.8,spiro-OMeTAD,17.2,1.02,66,11.7,2014
2014_19,Triazine-Th-OMeTPA,small molecule,20.74,0.92,66,12.51,spiro-OMeTAD,21.37,0.94,67,13.45,2014
2014_20,MY11 doped spiro,small molecule,16.8,1,71,11.9,FK102 doped spiro,16.8,0.965,68,11,2014
2014_21,"Li-TFSI, TBP doped spiro-MeOTAD",small molecule,21.64,1.05,74,17.01,-,-,-,-,-,2014
2014_22,"Li-TFSI, TBP doped spiro-MeOTAD",small molecule,20.4,1.03,74,15.7,-,-,-,-,-,2014
2014_23,"Li-TFSI, TBP doped spiro-MeOTAD",small molecule,22.75,1.13,75,19.3,-,-,-,-,-,2014
2014_24,Li-TFSI and TBP doped spiro-MeOTAD,small molecule,16.4,1.05,66,11.45,-,-,-,-,-,2014
2014_25,Li-TFSI and TBP doped spiro-MeOTAD,small molecule,21.5,1.02,71,15.9,-,-,-,-,-,2014
2014_26,TPBC,small molecule,19.32,0.94,72,13.1,spiro-OMeTAD,20.03,0.92,72,13.28,2014
2014_27,TTF-1,small molecule,19.9,0.86,64,11.03,spiro-OMeTAD,19.8,0.91,63,11.4,2014
